subject_id,conditioning_key,easy_control,hard_control,hard_reference,roundtrip_control,standard_reference,standard_minus_easy,hard_minus_standard,ladder_monotonic
backpack,class,-0.003109447110932082,0.06075326337195653,-0.015401746321438807,-0.002269722565302921,-0.006582013130949294,-0.003472566020017212,-0.008819733190489513,False
backpack,class_context,-0.0031229927433137593,0.06069378976263566,-0.015205866672686143,-0.002023662594285292,-0.006332144719233617,-0.0032091519759198574,-0.008873721953452526,False
backpack,null,-0.003302596207064319,0.05946005885591992,-0.01637693575423879,-0.003306188067860836,-0.007615585706673189,-0.00431298949960887,-0.008761350047565602,False
cat,class,-0.008221498398321087,-0.014509339991713414,0.027477920660365994,0.049409080318736025,0.04465137827443453,0.052872876672755614,-0.017173457614068535,False
cat,class_context,-0.008209726828105692,-0.014766190616658192,0.027234237376534257,0.04918766995158564,0.04443166801480495,0.05264139484291064,-0.017197430638270693,False
cat,null,-0.008101201399373726,-0.016124831879212757,0.023504727831628526,0.045462960017159215,0.040722300180856236,0.04882350158022996,-0.01721757234922771,False
colorful_sneaker,class,0.002606117218865446,-0.025218295825275926,0.03793075431392342,0.05828280071019145,0.04725429168667836,0.04464817446781291,-0.009323537372754938,False
colorful_sneaker,class_context,0.0024841130875801485,-0.02546646138223487,0.03763881662323679,0.05796738723333468,0.046957067407430164,0.04447295431985002,-0.009318250784193377,False
colorful_sneaker,null,0.00274433970451796,-0.02542584567164559,0.037102152865048865,0.057647763065178825,0.046663803121417526,0.04391946341689956,-0.00956165025636866,False
dog,class,-0.00520856686738415,-0.017888459493723263,-0.01571903857382249,0.003055908864848145,-0.002727181305240216,0.0024813855621439343,-0.012991857268582275,False
dog,class_context,-0.005269462376447812,-0.018231647008790253,-0.01590586958650522,0.002841474194326544,-0.0029191018997895574,0.0023503604766582547,-0.012986767686715662,False
dog,null,-0.004278770002227614,-0.01896128818745862,-0.017249480376664773,0.0018328566371237699,-0.004016481923467372,0.00026228807876024253,-0.013232998453197403,False
dog7,class,-0.005210127836437945,-0.002852594797054453,-0.008345657223778006,0.012476872743751095,0.005923192331691449,0.011133320168129394,-0.014268849555469455,False
dog7,class_context,-0.005241480616203972,-0.0029090063034281697,-0.00859475569960114,0.012202825149338783,0.005638595382364984,0.010880075998568956,-0.014233351081966123,False
dog7,null,-0.004278850046616371,-0.002698340344190182,-0.009631922307929879,0.011353128531641825,0.00480648265445906,0.009085332701075432,-0.014438404962388938,False
fancy_boot,class,-0.01674793179076092,-0.05115175690194656,-0.03355596116578699,-0.02066444320597053,-0.027708742706102896,-0.010960810915341977,-0.005847218459684094,False
fancy_boot,class_context,-0.016945738286463494,-0.051519794575558636,-0.034028514808973204,-0.021037780761924356,-0.028071362812246158,-0.011125624525782665,-0.0059571519967270455,False
fancy_boot,null,-0.016532191270917602,-0.0513673388381692,-0.03454596899723195,-0.0214546916653153,-0.028567168241249528,-0.012034976970331925,-0.005978800755982425,False
shiny_sneaker,class,0.0026072256585977587,0.031096504078868853,0.06387367367302406,0.08098529736148978,0.07143423865987969,0.06882701300128193,-0.007560564986855631,False
shiny_sneaker,class_context,0.002483847451121479,0.030817221465518227,0.06357802671031619,0.08076050337129584,0.07123166044360345,0.06874781299248196,-0.007653633733287257,False
shiny_sneaker,null,0.0027418016385032788,0.030521746528335513,0.06290565126229503,0.07997394350598919,0.07048849969467186,0.06774669805616858,-0.007582848432376832,False
vase,class,-0.0064609009142486615,0.0113002434283491,-0.045885034769451855,-0.0338206849006079,-0.03859287730199605,-0.03213197638774739,-0.007292157467455804,False
vase,class_context,-0.006536375762512358,0.011515919177040384,-0.046161857866563294,-0.03394896996137385,-0.0386925300673947,-0.03215615430488234,-0.007469327799168597,False
vase,null,-0.0066455817710482255,0.009965529036080424,-0.04671531984176929,-0.034455267239660484,-0.03923692536036825,-0.032591343589320025,-0.007478394481401043,False
