class_name,conditioning_key,source_group,reference_regime,hardness_axis,mean_clean_norm,mean_raw_norm,mean_artifact_fraction,mean_artifact_cosine,n
backpack,prompt_matched,base_generated_control,prompt_matched_generated,background_heavy,0.05460085614993273,0.3740738066628305,0.9891739321241101,0.9891739321722908,50
backpack,prompt_matched,base_generated_control,prompt_matched_generated,clean_object,0.060686081661917995,0.29318913593759616,0.9799019022400067,0.9799019022947708,50
backpack,prompt_matched,base_generated_control,prompt_matched_generated,cluttered_scene,0.059849431103135495,0.34574364099092847,0.9875142944310846,0.9875142944723666,50
backpack,prompt_matched,base_generated_control,prompt_matched_generated,matched_context,0.05640051061984421,0.3449308554775655,0.9863598650845808,0.9863598651325308,50
backpack,prompt_matched,ordinary_real_control,ordinary_background_heavy,background_heavy,0.06953095618464539,0.38024407678402755,0.9843942799315714,0.9843942799890845,25
backpack,prompt_matched,ordinary_real_control,ordinary_clean_object,clean_object,0.07560255511677308,0.3337383814412078,0.9795073094677172,0.9795073095206537,25
backpack,prompt_matched,ordinary_real_control,ordinary_cluttered_scene,cluttered_scene,0.07116542512827499,0.3527176565494478,0.9833788104200571,0.9833788104735613,25
backpack,prompt_matched,ordinary_real_control,ordinary_matched_context,matched_context,0.07865972446521811,0.3582799855038563,0.9796485297999636,0.9796485298456851,25
cat,prompt_matched,base_generated_control,prompt_matched_generated,background_heavy,0.05888977824581938,0.34208065153677003,0.9864193782702941,0.9864193783179683,50
cat,prompt_matched,base_generated_control,prompt_matched_generated,clean_object,0.06291326380687791,0.3028023967903897,0.980435697930544,0.9804356979798642,50
cat,prompt_matched,base_generated_control,prompt_matched_generated,cluttered_scene,0.06328056369813924,0.28349855834328164,0.9784334204736161,0.9784334205310546,50
cat,prompt_matched,base_generated_control,prompt_matched_generated,matched_closeup,0.061157806619234784,0.32017950535094486,0.9840228888339534,0.9840228888812311,50
cat,prompt_matched,ordinary_real_control,ordinary_background_heavy,background_heavy,0.07209582149484565,0.3351913558569053,0.9814686313958332,0.9814686314413318,25
cat,prompt_matched,ordinary_real_control,ordinary_clean_object,clean_object,0.06403764572882385,0.32320870613023345,0.9817491719708079,0.9817491720329495,25
cat,prompt_matched,ordinary_real_control,ordinary_cluttered_scene,cluttered_scene,0.07463347141273195,0.32677851839186944,0.9788794577367536,0.9788794577876812,25
cat,prompt_matched,ordinary_real_control,ordinary_matched_closeup,matched_closeup,0.06993264960837005,0.32519919706080275,0.9811650760600302,0.9811650761068491,25
dog,prompt_matched,base_generated_control,prompt_matched_generated,background_heavy,0.060171985283156336,0.31442157357431255,0.983562022261357,0.9835620223050181,50
dog,prompt_matched,base_generated_control,prompt_matched_generated,clean_object,0.05753276499227209,0.32081492355242036,0.9849734237048593,0.9849734237624997,50
dog,prompt_matched,base_generated_control,prompt_matched_generated,cluttered_scene,0.05607019187244339,0.346516857042646,0.9881258002606708,0.988125800308113,50
dog,prompt_matched,base_generated_control,prompt_matched_generated,matched_closeup,0.05877617978499016,0.3086100998252568,0.983709154111866,0.983709154160007,50
dog,prompt_matched,ordinary_real_control,ordinary_background_heavy,background_heavy,0.07307148981281342,0.3511963386455718,0.9810134863491906,0.9810134863967538,25
dog,prompt_matched,ordinary_real_control,ordinary_clean_object,clean_object,0.06902790149143492,0.3979926147695819,0.9870233166898791,0.9870233167344925,25
dog,prompt_matched,ordinary_real_control,ordinary_cluttered_scene,cluttered_scene,0.07652865944299798,0.337455651318555,0.975156077280246,0.9751560773314907,25
dog,prompt_matched,ordinary_real_control,ordinary_matched_closeup,matched_closeup,0.06510893959470401,0.367207288380757,0.9857853790447899,0.9857853790941445,25
vase,prompt_matched,base_generated_control,prompt_matched_generated,background_heavy,0.056756466387740394,0.34882157940556047,0.9868981359461787,0.9868981359953889,50
vase,prompt_matched,base_generated_control,prompt_matched_generated,clean_object,0.056120864861905394,0.33625054672078697,0.987027562415151,0.9870275624663111,50
vase,prompt_matched,base_generated_control,prompt_matched_generated,cluttered_scene,0.05689958270808838,0.3672149460351312,0.9885571216621751,0.9885571217068073,50
vase,prompt_matched,base_generated_control,prompt_matched_generated,matched_window,0.05904121673098643,0.32613463104293294,0.9856311516757092,0.9856311517211122,50
vase,prompt_matched,ordinary_real_control,ordinary_background_heavy,background_heavy,0.0732696620930667,0.37761647863111814,0.9829728087757941,0.9829728088229821,25
vase,prompt_matched,ordinary_real_control,ordinary_clean_object,clean_object,0.07255457673298987,0.3194753497562452,0.9777530688096303,0.9777530688668259,25
vase,prompt_matched,ordinary_real_control,ordinary_cluttered_scene,cluttered_scene,0.06239229010651379,0.3668869346819416,0.9878063709920467,0.9878063710425331,25
vase,prompt_matched,ordinary_real_control,ordinary_matched_window,matched_window,0.07881886773711969,0.36289122179340844,0.977990494388319,0.9779904944339312,25
